file_path,set,label,edge_density,contrast,homogeneity,energy,correlation,entropy,mean_L,mean_A,mean_B,corrosion_area_fraction
/content/split/unzipped/split/test/CORROSION/000001.jpg,test,CORROSION,0.3472900390625,5957.6022161354595,0.03213714814551841,0.00929961178924736,0.45257747343203614,7.125398963324064,135.5556640625,101.42045593261719,145.32960510253906,0.25885009765625
/content/split/unzipped/split/test/CORROSION/000014.jpg,test,CORROSION,0.0831146240234375,1412.731169073705,0.36809886673711756,0.0908078756332651,0.8751386294845361,6.5254309254701655,154.8858642578125,139.26780700683594,135.92359924316406,0.504791259765625
/content/split/unzipped/split/test/CORROSION/000015.jpg,test,CORROSION,0.097625732421875,907.0492872260955,0.1777720103496404,0.04810408584903429,0.9175957790004592,7.103438254303771,109.09117126464844,139.88983154296875,147.09788513183594,0.45556640625
/content/split/unzipped/split/test/CORROSION/000016.jpg,test,CORROSION,0.09814453125,1689.2931866284864,0.25189670414049625,0.07225148316545325,0.8502019557330819,7.080294253411794,135.64468383789062,135.2414093017578,139.19808959960938,0.4609222412109375
/content/split/unzipped/split/test/CORROSION/000017.jpg,test,CORROSION,0.16143798828125,3891.194612176294,0.08511773095711889,0.015707567453008324,0.6421347251964968,6.91327649020493,103.35604858398438,141.55642700195312,135.19119262695312,0.4503936767578125
/content/split/unzipped/split/test/CORROSION/000570.jpg,test,CORROSION,0.1902313232421875,1892.091664591634,0.09325538495019806,0.02404632826597469,0.8251189264778089,6.4101569249171835,101.1610107421875,131.24008178710938,131.13299560546875,0.410308837890625
/content/split/unzipped/split/test/CORROSION/000573.jpg,test,CORROSION,0.130401611328125,1123.7758497260959,0.21117632750316473,0.121384488985864,0.9059860399012926,6.859985090000018,132.40225219726562,137.92344665527344,138.3496551513672,0.4955902099609375
/content/split/unzipped/split/test/CORROSION/02506dc781.jpg,test,CORROSION,0.229339599609375,3381.0836186503984,0.047521257813370105,0.00865803018316982,0.6844557664155859,7.510193048381603,111.70899963378906,132.29891967773438,133.35816955566406,0.403106689453125
/content/split/unzipped/split/test/CORROSION/04e4ed9c0f.jpg,test,CORROSION,0.080047607421875,699.8149744770916,0.20606115080874068,0.034960220119845994,0.9361511819862494,7.254727824157668,155.0404510498047,127.84063720703125,138.85150146484375,0.475738525390625
/content/split/unzipped/split/test/CORROSION/054b06f297.jpg,test,CORROSION,0.16131591796875,1043.417128361554,0.0838063993106616,0.01019699176241622,0.903664345970888,7.670233682329888,124.74839782714844,127.78274536132812,133.93017578125,0.465118408203125
/content/split/unzipped/split/test/CORROSION/055686bd9b.jpg,test,CORROSION,0.08837890625,1228.546205801793,0.12339796881601435,0.03036712878662662,0.8837303245550197,7.143432090694402,79.358642578125,129.8101348876953,130.64208984375,0.4972076416015625
/content/split/unzipped/split/test/CORROSION/08361aa38e.jpg,test,CORROSION,0.0587005615234375,1848.0712307021915,0.18087275722988758,0.033992045435761314,0.8287329640744355,7.160352832293628,117.48591613769531,127.90786743164062,130.86770629882812,0.4800567626953125
/content/split/unzipped/split/test/CORROSION/09a7ec54c2.jpg,test,CORROSION,0.1463165283203125,1974.3921501494024,0.12998837423945978,0.049357170752313724,0.8353464869808568,7.24609578110076,79.25949096679688,129.13429260253906,130.50363159179688,0.448455810546875
